wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
82009;8;1462;71,19;252;826;202;182;169;36;109;19;5;1293;216;717;183;177;4,5
82010;78;1099;67,32;296;442;267;94;18;9;9;;;1081;287;433;267;94;8
82011;20;1359;62,8;183;845;179;152;11;3;6;;;1348;180;839;179;150;8,3
82012;35;895;71,95;94;563;69;169;55;6;15;28;6;840;88;548;41;163;6
82013;105;1617;66,15;574;591;207;245;48;11;7;3;27;1569;563;584;204;218;6,7
82014;84;1622;66,71;561;737;246;78;73;37;17;;17;1549;524;720;244;61;5,6
82015;8;829;71,8;77;311;359;82;36;23;4;9;;793;54;307;350;82;6,1
82016;22;568;61,19;7;533;27;;29;3;23;;;539;4;510;25;;8,5
82017;8;882;80,13;75;211;490;106;177;24;87;34;32;705;51;124;456;74;3,5
83001;33;1222;92,69;476;311;257;178;912;425;159;172;156;310;51;152;85;22;1,6
83002;35;937;95,16;155;321;234;227;504;117;142;140;105;433;38;179;94;122;1,9
83003;30;1259;72,46;142;656;426;35;228;109;103;10;6;1031;33;553;416;29;4,3
83004;11;851;78,04;31;461;132;227;154;12;12;14;116;697;19;449;118;111;3,5
83005;17;1003;93,55;415;288;229;71;616;324;176;76;40;387;91;112;153;31;1,8
83006;;;;;;;;;;;;;;;;;;
84001;28;919;110,44;59;362;327;171;497;37;227;160;73;422;22;135;167;98;1,9
84002;111;1782;87,73;90;704;780;208;385;53;181;118;33;1397;37;523;662;175;3,3
84003;54;1380;88,91;101;464;635;180;297;58;127;81;31;1083;43;337;554;149;3,3
84004;;;;;;;;;;;;;;;;;;
91001;19;1054;69,36;89;247;670;48;131;36;20;73;;923;53;227;597;46;4,9
91002;10;1119;76,74;440;305;257;117;320;217;44;14;45;799;223;261;243;72;2,8
91003;55;1751;87,91;158;690;270;633;878;125;357;104;292;873;33;333;166;341;2,1
91004;92;1912;66,38;592;972;210;138;41;32;;5;;1871;560;970;205;136;6,5
91005;;1156;75,17;4;37;905;210;256;4;13;188;51;900;;24;717;159;3,5
91006;28;1096;93,72;149;363;182;402;492;98;105;60;229;604;51;258;122;173;2,1
91007;34;1068;66,2;176;627;231;34;69;6;59;;;999;170;568;229;32;5,7
91008;;1276;74,86;191;642;298;145;385;128;160;18;79;891;63;482;280;66;2,9
91009;30;1488;71,67;99;911;162;316;204;28;111;3;62;1284;71;800;159;254;4,6
91010;26;1417;66,39;207;499;366;345;37;4;;12;20;1380;203;498;354;325;6,5
91011;18;873;64,56;108;327;124;314;20;;13;4;;853;106;314;120;313;8,3
92001;14;940;109,3;113;184;265;378;340;76;47;40;177;600;37;137;225;201;2,3
92002;;;;;;;;;;;;;;;;;;
93001;12;901;81,44;30;735;66;70;295;14;233;21;27;606;16;502;45;43;2,9
93002;77;961;80,62;85;442;223;211;147;5;32;6;104;814;80;410;217;107;4,1
93003;9;1297;64,11;22;1051;58;166;17;;6;;9;1280;20;1045;58;157;8,9
93004;;1245;56,45;207;985;27;26;20;16;;;;1225;191;983;26;25;7,5
93005;;363;67,66;0;64;299;0;0;;;;;363;;64;299;;13,4
93006;105;1351;64,49;480;609;159;103;88;61;10;;16;1263;419;599;158;87;5,6
93007;;;;;;;;;;;;;;;;;;
93008;12;183;75,79;146;12;15;10;33;25;4;;;150;121;8;13;8;3,3
93009;;;;;;;;;;;;;;;;;;
94001;43;176;67,42;69;99;;6;12;3;;;6;164;66;98;;;5,9
94002;;;;;;;;;;;;;;;;;;
94003;45;1577;71,17;486;725;252;114;347;141;19;161;26;1230;345;706;91;88;3,3
95001;;;;;;;;;;;;;;;;;;
95002;52;1313;70,81;475;317;175;346;74;52;14;3;5;1239;423;303;172;341;6
95003;10;1304;82,56;488;695;63;58;226;186;32;5;3;1078;302;663;58;55;3,5
95004;273;1560;71,76;308;553;318;381;78;46;15;8;9;1482;262;538;310;372;6
95005;5;1343;68,21;535;443;287;78;309;120;32;129;28;1034;415;411;158;50;3,1
95006;;;;;;;;;;;;;;;;;;
95007;;;;;;;;;;;;;;;;;;
95008;21;690;106,62;129;183;261;117;135;45;30;37;23;555;84;153;224;94;3,5
95009;19;911;110,75;258;483;82;88;485;157;277;19;32;426;101;206;63;56;1,8
95010;29;762;70,25;185;348;134;95;67;30;3;4;30;695;155;345;130;65;4,7
95011;;915;72,22;111;67;537;200;104;49;10;32;13;811;62;57;505;187;5,1
96001;3;693;111,54;35;22;395;241;334;16;12;225;81;359;19;10;170;160;2
96002;;272;68,22;0;0;272;0;18;;;18;;254;;;254;;5,6
96003;42;1038;88,78;287;258;313;180;265;111;76;28;50;773;176;182;285;130;2,8
96004;29;1125;79,74;198;423;378;126;192;110;56;10;16;933;88;367;368;110;3,4
96005;4;826;108,26;122;362;209;133;628;113;285;137;93;198;9;77;72;40;1,5
96006;13;1411;75,41;58;231;989;133;126;3;12;109;;1285;55;219;880;131;6,2
96007;;;;;;;;;;;;;;;;;;
97001;;1198;92,51;110;214;362;512;412;42;101;75;194;786;68;113;287;318;2,6
97002;;;;;;;;;;;;;;;;;;
98001;;417;73,18;50;130;120;117;101;24;16;45;16;316;26;114;75;101;3,3
98002;;824;67,59;0;0;788;36;;;;;;823;;;788;35;15,3
98003;;660;66,2;0;0;660;0;0;;;;;660;;;660;;23,6
98004;3;1070;69,76;45;230;564;231;6;;4;;;1064;43;226;564;231;9,3
98005;;862;68,78;0;11;695;156;14;;4;10;;848;;7;685;156;10,8
98006;55;1196;74,39;139;396;303;358;146;29;16;83;18;1050;110;380;220;340;4,1
98007;;1391;74,48;64;483;767;77;219;26;160;10;23;1172;38;323;757;54;4,3
98008;13;799;58,89;104;475;59;161;18;10;6;;;781;94;469;58;160;5,1
98009;16;1323;81,86;289;456;164;414;378;178;79;39;82;945;111;377;125;332;2,8
98010;;;;;;;;;;;;;;;;;;
101001;;195;71,18;0;149;0;46;140;;94;;46;55;;55;;;1,3
101002;;699;72,61;7;660;32;0;154;7;139;8;;545;;521;24;;3,9
101003;;777;75,75;3;481;89;204;122;3;97;3;19;655;;384;86;185;4,2
101004;18;1368;73,44;44;1065;93;166;193;;185;;4;1175;42;880;91;162;4,5
101005;3;942;71,65;8;793;88;53;74;;46;26;;868;6;747;62;53;6,6
101006;;1005;67,49;0;721;266;18;31;;28;3;;974;;693;263;18;11,2
101007;;;;;;;;;;;;;;;;;;
101008;18;809;77,81;24;692;87;6;72;6;64;;;737;18;628;85;6;5,5
101009;33;913;65,49;0;232;621;60;7;;;7;;906;;232;614;60;13,2
101010;4;932;66,61;4;905;23;0;;;;;;930;4;903;23;;13,7
101011;;974;80,21;4;962;8;0;273;4;261;8;;701;;701;;;3
101012;;164;114,99;19;12;38;95;135;12;8;38;77;29;7;4;;18;1,3
101013;;;;;;;;;;;;;;;;;;
101014;;;;;;;;;;;;;;;;;;
102001;;476;106,01;3;;467;5;277;3;;268;5;199;;;199;;1,8
102002;;1081;94,47;21;15;271;774;490;6;3;199;282;591;15;12;72;492;2,2
102003;4;1081;103,1;8;;965;106;671;5;;588;76;410;3;;377;30;1,6
102004;4;6;97,33;0;0;3;3;3;;;;3;3;;;3;;1,5
