wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
23005;8;2357;81,73;484;1428;223;222;48;13;27;4;4;2309;471;1401;219;218;7,9
23006;115;1900;66,76;233;1393;257;17;3;3;;;;1897;230;1393;257;17;9,5
23007;71;1247;76,05;138;839;239;31;17;5;10;;;1230;133;829;238;30;7,4
23008;24;1277;85,43;169;711;372;25;29;9;8;11;;1248;160;703;361;24;7,6
23009;21;1170;100,99;96;901;130;43;96;30;57;4;5;1074;66;844;126;38;5
23010;29;1222;116,97;358;514;305;45;153;72;69;3;9;1069;286;445;302;36;3,8
23011;3;1024;77,36;;35;760;228;30;;;29;;994;;35;731;228;10,7
23012;13;1057;63,3;0;924;0;133;;;;;;1055;;922;;133;11,4
31001;187;973;59,31;131;744;93;5;12;;8;;;961;129;736;92;4;10,1
31002;97;768;64,04;118;623;16;11;6;;4;;;762;116;619;16;11;11,3
31003;63;1067;65,76;253;757;52;5;3;;;;;1064;252;757;52;3;11
31004;35;1155;63,39;372;679;104;0;;;;;;1153;372;677;104;;11,1
31005;128;1493;63,52;180;1049;215;49;3;;;;;1490;180;1048;215;47;10,4
31006;102;1223;61,63;287;754;130;52;10;;;5;;1213;286;752;125;50;10,4
31007;37;865;70,45;272;560;33;0;3;;;;;862;271;558;33;;9,8
31008;56;1123;59,61;326;588;174;35;9;4;3;;;1114;322;585;172;35;8,9
31009;66;873;57,11;153;595;95;30;3;;;;;870;151;595;94;30;10
31010;95;1633;59,02;516;943;75;99;;;;;;1631;514;943;75;99;10,8
32001;32;1354;62,3;368;701;56;229;8;;;6;;1346;367;701;50;228;9,5
32002;47;1120;67,25;403;519;55;143;4;;;;;1116;403;517;55;141;11
32003;156;1607;67,44;474;600;239;294;20;7;;3;10;1587;467;600;236;284;9,1
32004;77;1170;75,85;639;330;180;21;6;3;;3;;1164;636;330;177;21;8,1
32005;180;1398;68,27;201;865;203;129;26;15;7;3;;1372;186;858;200;128;8,2
32006;13;1028;70,2;216;682;121;9;;;;;;1026;216;680;121;9;8,4
32007;85;1185;65,7;380;542;178;85;5;;;;;1180;378;540;177;85;8,7
32008;88;1315;61,3;249;865;36;165;7;3;;;3;1308;246;864;36;162;9,8
32009;236;1829;65,42;309;1218;108;194;14;3;;;9;1815;306;1218;106;185;10,2
33001;;;;;;;;;;;;;;;;;;
33002;;;;;;;;;;;;;;;;;;
34001;;;;;;;;;;;;;;;;;;
34002;44;1389;76,35;261;402;389;337;253;87;73;18;75;1136;174;329;371;262;3,6
34003;3;851;82,23;88;174;241;348;102;29;38;10;25;749;59;136;231;323;4,1
34004;;;;;;;;;;;;;;;;;;
34005;;;;;;;;;;;;;;;;;;
35001;19;1225;73,45;100;191;545;389;126;27;50;17;32;1099;73;141;528;357;5,1
35002;;;;;;;;;;;;;;;;;;
36001;10;907;77;98;259;209;341;57;23;10;22;;850;75;249;187;339;6,2
36002;10;1420;63,2;283;480;250;407;0;;;;;1420;283;480;250;407;10,9
36003;11;1236;66,92;281;539;230;186;23;10;7;3;3;1213;271;532;227;183;8,2
36004;;1496;56,89;833;538;82;43;0;;;;;1496;833;538;82;43;10,2
36005;34;1225;58,92;876;282;61;6;9;;6;;;1216;875;276;61;4;8,2
36006;40;1054;66,45;355;506;124;69;0;;;;;1054;355;506;124;69;8,5
36007;42;1108;68,53;243;436;142;287;0;;;;;1108;243;436;142;287;10,9
36008;49;1233;64,05;563;505;137;28;3;;3;;;1230;563;502;137;28;9,5
36009;28;1651;62,07;480;944;164;63;7;;4;;;1644;480;940;162;62;11,4
36010;;1086;64,11;376;638;42;30;;;;;;1085;376;637;42;30;10,5
36011;;993;71,7;164;445;85;299;73;5;12;;56;920;159;433;85;243;6,4
36012;;1079;51,1;40;399;371;269;;;;;;1077;40;397;371;269;19,3
36013;17;1611;60,33;159;280;590;582;86;11;49;14;12;1525;148;231;576;570;8,6
36014;;;;;;;;;;;;;;;;;;
36015;8;912;88,49;446;320;111;35;335;212;107;6;10;577;234;213;105;25;2,2
36016;5;742;72,29;211;289;90;152;83;26;39;8;10;659;185;250;82;142;3,9
36017;41;1015;74,81;179;536;91;209;146;68;35;5;38;869;111;501;86;171;4
36018;;944;61,89;193;212;11;528;;;;;;942;193;212;11;526;11,8
36019;17;1034;70,16;211;706;72;45;57;27;10;;20;977;184;696;72;25;6,4
36020;19;1281;62,97;244;705;160;172;27;8;14;;3;1254;236;691;158;169;9
36021;;1036;52,48;310;297;111;318;29;7;4;;18;1007;303;293;111;300;10
36022;9;949;75,39;124;89;93;643;113;48;32;17;16;836;76;57;76;627;4,9
37001;23;1345;59,68;123;632;399;191;5;;;;4;1340;123;631;399;187;11,9
37002;36;679;67,06;24;147;52;456;0;;;;;679;24;147;52;456;16,2
37003;62;1196;58,55;375;540;208;73;0;;;;;1196;375;540;208;73;9,6
37004;22;1280;60,55;397;593;176;114;4;;;;;1276;395;592;176;113;9,6
37005;33;1212;60,53;241;849;53;69;0;;;;;1212;241;849;53;69;10,4
